"pmid","year","title","abstract","first_author"
"41843236","2026","Left ventricular septal and non-selective left bundle branch pacing reduce right ventricular and interventricular dyssynchrony in patients with right bundle branch block.","N/A","Poviser Lukas"
"41793612","2026","Interventricular conduction delay predicts CRT response: a comparative evaluation study between biventricular pacing and conduction system pacing.","N/A","Santoro Amato"
"41790397","2026","Clinical indications for conduction system pacing in routine practice: 2025 survey from the Home Monitoring Expert Alliance.","N/A","Celentano Eduardo"
"41729357","2026","Performance of automatic capture confirmation algorithm in a large cohort of pacemaker patients with left bundle branch area pacing.","N/A","Bernabei Matthew A"
"41712169","2026","Immediate vs delayed left bundle branch block after transcatheter aortic valve replacement: incidence and risk factors for permanent pacemaker implantation.","N/A","Shrem Maayan"
"41579252","2026","Left bundle branch area pacing in patients with and without interventricular septal hypertrophy: a systemic review and meta-analysis.","Conduction disease is common in patients with interventricular septal hypertrophy (IVSH). Left bundle branch area pacing (LBBAP) is a physiological pacing approach which preserves interventricular synchrony. There is limited data regarding the success rate and outcomes of LBBAP in patients with IVSH. In this study, we aimed to synthesize all available evidence on the feasibility and outcomes of LBBAP in patients with IVSH compared to those without IVSH.

We systematically reviewed bibliographic databases to identify studies published through August 2025. We included observational studies with available quantitative information on the success rate of LBBAP, lead penetration depth, paced QRS duration, and left ventricle activation time (LVAT) in patients with versus without IVSH. Estimates were combined using random-effects meta-analysis models and reported as risk ratios (RR) and 95% confidence intervals (CI).

Three studies were included in the quantitative synthesis (49 IVSH and 701 non-IVSH patients). The pooled RR for success rate of LBBAP in IVSH patients compared to non-IVSH controls was 0.92 (95% CI = 0.82-1.04; P = 0.20). The pooled mean difference for lead penetration depth in IVSH patients compared to non-IVSH controls was 4.84 mm (95% CI = 3.86-5.82; P < 0.00001). The pooled mean difference for paced QRS duration in IVSH patients compared to non-IVSH controls was 6.66 ms (95% CI = 1.94 - 11.39; P = 0.006). The pooled mean difference for LVAT in IVSH patients compared to non-IVSH controls was 6.37 ms (95% CI = 3.07-9.67; P = 0.0002).

Compared to non-IVSH patients, those with IVSH had comparable success rate of LBBAP with greater lead penetration depth, wider QRS duration, and longer LVAT.","Zhang Ke"
"41579251","2026","Biatrial cardioneuroablation guided by robotic magnetic navigation and artificial intelligence-based mapping in vagal bradyarrhythmias: A controlled observational study.","Reflex bradyarrhythmias and syncope related to excessive vagal tone may be refractory to conservative therapy and significantly impair quality of life. Cardioneuroablation (CNA) has emerged as a device-sparing alternative, but real-world outcome data remain limited.

We retrospectively evaluated 12 consecutive patients (aged 23-55 years) with drug-refractory, vagally mediated bradyarrhythmias confirmed by tilt-table testing. All underwent biatrial CNA guided by ultra-high-density electroanatomical mapping with automated fragmented-electrogram detection and robotic magnetic navigation. A contemporaneous cohort of medically managed patients with comparable clinical profiles (n = 10) served as a control group. The primary outcome was freedom from syncope or clinically significant bradyarrhythmia without pacemaker implantation. Secondary outcomes included procedural metrics, heart-rate changes, and recurrence during follow-up.

All CNA procedures were completed without acute complications and with minimal fluoroscopy exposure. Resting sinus rate increased substantially after ablation. Over a mean follow-up of approximately 12 months, most CNA-treated patients remained free of symptomatic bradyarrhythmia or syncope without requiring pacemaker implantation, whereas recurrence and pacemaker placement were less frequent compared with controls. No delayed complications were observed.

In this small, retrospective real-world cohort, biatrial CNA guided by automated electrogram analysis and robotic navigation was feasible, safe, and associated with short-term autonomic modulation and symptomatic improvement over approximately 12 months of follow-up in selected patients with vagally mediated bradyarrhythmias. These findings are exploratory and warrant confirmation in larger, prospective studies with longer follow-up to assess durability and reinnervation risk.","Cacciapuoti Fulvio"
"41575717","2026","Left bundle branch area pacing decreased the pressure gradient and severity of tricuspid regurgitation compared with right ventricular pacing.","N/A","Chen Yi-Ting"
"41483053","2026","Comparison of left bundle branch area pacing and biventricular pacing for atrioventricular block with heart failure and mild-to-moderately reduced left ventricular systolic function: design and rationale of the BLOCK NAGOYA randomized clinical trial.","Cardiac resynchronization therapy (CRT) with biventricular pacing (BVP) is an established cardiac physiologic pacing strategy for patients requiring substantial ventricular pacing, heart failure (HF), and reduced left ventricular ejection fraction (LVEF). Recently, left bundle branch area pacing (LBBAP) has emerged as a promising alternative to BVP. It remains uncertain whether BVP or LBBAP is more advantageous for patients with mild-to-moderately reduced left ventricular systolic function.

To compare efficacy and safety of LBBAP and BVP in patients with atrioventricular block and LVEF of 36-50%.

The BLOCK NAGOYA trial is a multicenter, prospective, randomized, controlled trial to determine whether LBBAP is superior to BVP in terms in improving left ventricular function. A total of 46 participants, with advanced atrioventricular block, HF, and LVEF of 36-50%, will be recruited in 17 Japanese institutions and randomized to receive either LBBAP (with targeted left bundle branch capture) or BVP treatment arm.

The primary endpoint is the change in LVEF at 6 months. Secondary endpoints include changes in brain natriuretic peptide levels, electrocardiographic and echocardiographic findings at 6 months, clinical outcomes (hospitalization for HF or ventricular arrhythmias), and adverse events. The follow-up duration is set to two years after the implantation.

The BLOCK NAGOYA trial will provide significant insights on the optimal physiologic pacing therapy for patients with atrioventricular block, HF, and mild-to-moderately reduced LVEF.

Japan Registry of Clinical Trials: jRCTs042240129: https://jrct.mhlw.go.jp/en-latest-detail/jRCTs042240129.","Kato Hiroyuki"
"41269504","2025","Comment on 'Cost-effective CRT using dual-chamber generators in patients without atrial pacing need'.","N/A","Sahin Ahmet Taha"
"41258272","2025","Assessing modified chest leads as a substitute for electrophysiological systems in left bundle branch area pacing.","Left bundle branch area pacing (LBBAP) typically requires an electrophysiological (EP) system, but access to these systems is limited in many catheterization laboratories. Modified chest leads (MCL1 and MCL6) are commonly used as substitutes for V1 and V6, yet their feasibility as an alternative during LBBAP implantation remains unclear. This study evaluates the utility of MCL-based recordings from a pacing system analyzer (PSA) compared to conventional EP system recordings.

This prospective study included all patients undergoing de novo transvenous permanent pacemaker implantation with an expected ventricular pacing burden ≥ 20%. Continuous 12-lead ECG-based EP system recordings were compared with MCL recordings from a PSA. Parameters analyzed included right bundle branch block (RBBB) morphology, QRS transition, left ventricular activation time (LVAT), interpeak interval (V6-V1/MCL6-MCL1), and QRS duration.

A total of 73 patients (32 men, age 74.3 ± 10.8 years) were included. LBBAP was successfully achieved in all patients. RBBB morphology and QRS transition showed 100% concordance between MCL leads and the EP system. QRS duration (130.63 ± 13.88 ms vs. 124.1 ± 12.04 ms) and LVAT (73.71 ± 9.61 ms vs. 67.08 ± 9.2 ms) were slightly prolonged in MCL measurements but showed minimal bias in Bland-Altman analysis. Intraclass correlation coefficients confirmed strong agreement for QRS duration (0.849), LVAT (0.850), and interpeak interval (0.813).

MCL-based monitoring closely correlates with the EP system and may serve as a practical and reliable alternative to the EP system, particularly in resource-limited settings.","Jeong Hyung Ki"
"41239024","2025","Left bundle branch area pacing or conventional cardiac resynchronization therapy: an Electrophysiology-guided tailored approach.","Cardiac resynchronization therapy (CRT) with biventricular pacing (BiV-CRT) is the standard treatment for patients with dilated cardiomyopathy (DCM), severe left ventricular (LV) systolic dysfunction, and left bundle branch block (LBBB). However, up to 30% patients fail to respond. Left bundle branch area pacing (LBBAP) has emerged as an alternative, including as first-line therapy.

We enrolled 84 patients with DCM, severe LV dysfunction, and LBBB between January 2022 and January 2024. Patients were assigned to either conventional CRT-D (control group) or electrophysiology (EP)-guided resynchronization (case group). Left sided septal mapping in addition to conventional His bundle mapping was done to identify the site of conduction block to guide therapy. Primary outcomes were QRS duration, LV ejection fraction (LVEF), and LV internal diastolic diameter (LVIDd) at 6 months. Statistical analysis was executed using SPSS.

Baseline characteristics and implantation success rates were comparable. Post-implant QRS duration was significantly shorter in the EP-guided group (116.18 ± 8.12 ms) than in the control group (128.26 ± 6.81 ms, p = 0.03). At 6 months, LVEF improved more in the EP-guided group (39.21 ± 2.07% vs. 34.20 ± 3.65%, p < 0.001), with a greater reduction in LVIDd. The responder rate was higher with EP-guided therapy (97.4% vs. 80%).

EP-guided tailored resynchronization provides superior electrical and mechanical outcomes with a higher responder rate compared to conventional CRT in patients with DCM, severe LV dysfunction, and LBBB.","Das Asit"
"41191315","2025","A predictive model for esophageal thermal injury following atrial fibrillation ablation : Risk tool for esophageal thermal injury.","Atrioesophageal fistula (AEF) is a rare but serious complication of atrial fibrillation (AF) ablation, linked to high morbidity and mortality. Esophageal thermal injury (ETI), a precursor to AEF, highlights the need to identify high-risk patients. This study aims to assess predictors of ETI following AF ablation.

This prospective cohort study included patients undergoing their first radiofrequency AF ablation between October 2018 and June 2024. Esophageal temperature was continuously monitored using a multi-sensor probe. RF energy on the posterior left atrial (LA) wall was delivered at 40 W for up to 12 s and interrupted if temperature reached ≥ 38 °C. Upper endoscopy within 48 h post-procedure classified ETI according to the Kansas City Classification.

A total of 391 patients were included (mean age 61 ± 12 years; 73% male; 71% with paroxysmal AF; CHA₂DS₂-VASc 1.7 ± 1.4). Mean LA diameter was 42 ± 6 mm, and mean left ventricular ejection fraction was 63 ± 9%. In addition to pulmonary vein isolation, 16% underwent additional ablation lines. ETI occurred in 42 patients (10.7%). Multivariable analysis showed LA diameter as a protective factor (OR 0.920, 95% CI 0.870-0.974, p = 0.004) and higher esophageal temperature as a risk factor (OR 1.813, 95% CI 1.354-2.428, p < 0.001). A predictive model combining both variables stratified patients into low- and high-risk groups (AUC 0.749). All injuries were managed conservatively without progression to AEF.

Smaller LA diameter and elevated esophageal temperature during AF ablation independently predict ETI.","Borges Anibal Pires"
"41186897","2025","Cost-effective CRT using dual-chamber generators in patients without atrial pacing need.","Cardiac resynchronization therapy (CRT) improves outcomes in patients with reduced left ventricular ejection fraction, but device cost limits access. In patients without atrial pacing needs, the atrial port of a dual-chamber pacemaker or ICD can be repurposed for conduction system pacing to deliver CRT. We retrospectively analyzed 18 patients who underwent left bundle branch area pacing using a dual-chamber generator. The left bundle branch lead was connected to the atrial port. Over 12 months, LVEF remained stable in patients with pacemakers, with modest QRS narrowing, and limited ICD data suggested LVEF improvement. No intra-procedural complications occurred, and one patient developed a self-resolving pericardial effusion. No inappropriate ICD therapies were observed. Cost analysis demonstrated savings of $3,922 per CRT-D and $2,963 per CRT-P device avoided. Delivering CRT via dual-chamber generators in patients without atrial pacing needs is feasible, safe, and cost-effective, potentially broadening access to CRT, particularly in resource-limited settings. Larger studies are needed to confirm these findings.","Diaz Delgado Pedro J"
"41182671","2025","Left bundle branch area pacing electrode-guided ventricular tachycardia ablation in a patient with mechanical double valve replacement: an unusual way to reach to the left ventricle.","N/A","Baysal Erkan"
"41021212","2025","Left bundle branch area pacing in a patient with persistent left superior vena cava.","N/A","Cay Serkan"
"40944858","2025","""Poor man's"" left bundle branch area pacing as a bailout strategy: a case series and a practical guide of stylet-driven LBBAP without sheath support.","Left bundle branch area pacing (LBBAP) is a physiological pacing method as it yields narrow QRS complexes and minimizes the risk of asynchronous ventricular activation. Due to its numerous advantages, it has gained wide acceptance among electrophysiologists. We explain a simplified technique of LBBAP with a conventional stylet-driven lead without use of sheath support and demonstrate its feasibility in a case series with four patients.","Müssigbrodt Andreas"
"40920302","2025","Comparison of artificial intelligence-adjudicated spatiotemporal dispersion in spontaneous vs. induced atrial fibrillation among patients with persistent AF.","N/A","Alfred Jonathan"
"40748508","2025","Left bundle branch pacing vs. biventricular pacing for cardiac resynchronization therapy in the long-term: a prospective, non-randomized, cohort study.","N/A","Chen Jieruo"
"40515957","2025","Safety and performance of the Medtronic 3830 lead in His-bundle and Left bundle branch area pacing: A single-center experience.","Conduction system pacing (CSP) using His Bundle Pacing (HBP) and Left Bundle Branch Area Pacing (LBAP) is an evolving alternative to traditional right ventricular pacing (RVP), promising better physiological outcomes. This study evaluates the safety, feasibility, and performance of HBP and LBAP with Medtronic SelectSecure 3830 leads.

We conducted a single-center retrospective analysis of 490 patients undergoing HBP or LBAP. The study assessed implant success rates, pacing thresholds, device longevity, and complication rates over an average follow-up of 28 months for HBP and 14 months for LBAP.

The implantation success rate was 85% for HBP and 97.4% for LBAP. LBAP demonstrated lower and more stable pacing thresholds, with initial values of 0.8V at 0.5 ms rising slightly to 0.9V at 0.5 ms, and fewer device revisions compared to HBP, whose initial pacing threshold of 1.3V at 0.8ms increased to 1.68 V at 0.7ms. Complications were minimal and similar across both groups. The need for fewer device revisions and potential for prolonged device life highlighted LBAP as potentially more cost-effective. Cardiac function measured by LVEF remained stable across both groups.

Both HBP and LBAP are safe and feasible with comparable safety profiles. LBAP may offer advantages in terms of stability, fewer revisions, and extended device longevity. The study underscores the need for further research into optimal lead positioning and long-term outcomes of CSP, particularly for LBAP.","Sanchez-Nadales Alejandro"
"40478367","2025","AI-guided spatiotemporal dispersion mapping for individualized ablation in an all-comer cohort with atrial fibrillation.","Artificial intelligence (AI)-guided spatiotemporal dispersion (stD) mapping has been shown to improve outcomes in patients with persistent atrial fibrillation (AF). However, the relationship between stD mapping and markers of atrial cardiomyopathy, dispersion patterns in paroxysmal versus persistent AF, stability of dispersion regions, and stD-guided ablation-related outcomes in all-comer cohorts remain elusive.

In this retrospective single-center analysis, AF patients underwent high-density electroanatomical mapping alongside multiple instances of stD mapping using VOLTA AF Explorer software. Pulmonary vein isolation (PVI) and targeted ablation of left atrial dispersion regions were performed. Clinical, echocardiographic, biomarker, and low-voltage area (LVA) data were collected as markers of left atrial remodeling.

stD mapping identified dispersion in 92% of patients. Mean time since AF diagnosis was 7 ± 1 years. Overall, 58% of patients showed dispersion exclusively co-localizing with low-voltage areas, while 42% had dispersion extending into intermediate or normal voltage regions. Dispersion burden correlated strongly with LVA extent and other remodeling markers such as NT-proBNP and LAVI. Persistent AF patients exhibited a significantly higher number of dispersion sites compared to paroxysmal AF. Dispersion patterns remained largely consistent before and after cardioversion in persistent AF, with the posterior left atrial wall emerging as a common hotspot. At follow-up, AF recurred in 33% of paroxysmal and 60% of persistent AF patients who had dispersion ablation limited to the left atrium. Despite these recurrences, most patients reported an improvement in symptomatic burden.

AI-guided stD mapping effectively identifies atrial remodeling beyond classical voltage-derived substrate, supporting its potential as a useful adjunctive tool in AF characterization.","Heil Emanuel"
"40461897","2025","A systematic review and meta-analysis of artificial intelligence ECGs performance in the diagnosis of Brugada Syndrome.","Brugada syndrome (BrS) is a serious condition linked to sudden cardiac death in individuals who are otherwise healthy. Notably, drug-induced BrS accounts for 50% to 70% of all documented cases. The utilization of artificial intelligence (AI) models in the analysis of electrocardiograms (ECGs) represents a promising approach for the detection of BrS.

This meta-analysis aims to evaluate the effectiveness of AI models in diagnosing BrS through ECG analysis.

We conducted a systematic search across PubMed, Embase, and Cochrane databases, focusing on AI-based models for ECG analysis related to BrS detection. Key outcomes measured included sensitivity, specificity, and the summary receiver operating characteristic (SROC) curve. Pooled proportions were calculated using a random-effects model with 95% confidence intervals (CIs), and heterogeneity was using Zhou and Dendukuri Iapproach. Additionally, a leave-one-out sensitivity analysis was performed to evaluate the impact of each one of the included studies on the pooled results and heterogeneity. All statistical analyses were conducted using R version 4.4.2.

Our analysis included six studies encompassing ECG data from 2,179 patients, all employing AI algorithms for ECG interpretation. The quantitative analysis revealed an area under the curve (AUC) of 0.898, a sensitivity of 78.9% (95% CI: 69.6 to 85.9), and a specificity of 87.7% (95% CI: 79.9 to 92.7). Notably, the sensitivity analysis without Zanchi et al., significantly reduced the heterogeneity (I = 0%). However, the other analyses corroborated with our general findings.

AI-driven ECG interpretation demonstrates to be a viable option in detecting BrS.","Barbosa Lucas M"
"40314715","2025","Simplification of left bundle branch area pacing using a novel modified 3-lead pacing system analyzer electrocardiogram technique in the non-electrophysiology laboratory.","An electrophysiology (EP) recording system is recommended throughout the left bundle branch area pacing (LBBaP) procedure. However, the requirement of an EP recording system limits the wide adoption of LBBaP in non-EP laboratory settings. Thus, in this study, we proposed a novel set-up in non-EP laboratories using manufacturer pacing system analyzer (PSA)-derived electrogram guidance and fluoroscopy of the angiography system for LBBaP.

Our study prospectively enrolled consecutive patients who underwent LBBaP for bradyarrhythmia indications. LBBaP was performed using a stylet-driven lead (SDL) delivered through a dedicated delivery sheath. Procedural characteristics were recorded at the implant. The agreement of measurements on the modified 3-lead ECG of PSA and standard 12-lead ECG was analyzed.

A total of 83 patients were enrolled (mean age 65.4 ± 11.8 years, 55.4% male). The LBBaP with an SDL was successful for all patients. The pacing response was observed as LBBP in 69.9% of cases, while 30.1% were classified as left ventricular septal pacing. The mean paced QRS duration (pQRSd) and the stimulus to left ventricular activation time (LVAT) were measured at 117.6 ± 11.4 ms and 68 ± 17 ms using a modified 3-lead ECG of PSA, compared to 118.5 ± 11.8 ms and 70 ± 13 ms using the standard 12-lead ECG, with agreements of 0.89 and 0.93, respectively. SDL-LBBaP resulted in low unipolar and bipolar pacing thresholds (0.7 ± 0.2 V at 0.4 ms and 0.8 ± 0.2 V at 0.4 ms), which remained stable at a median 12-month follow-up (p > 0.05). An atrial lead revision was needed for one (1.2%) patient during the first-month visit. Acute interventricular septal perforation occurred in two (2.4%) patients as a specific complication of LBBaP.

Our novel setting in non-EP laboratories, utilizing fluoroscopy from the angiography system and manufacturer-modified 3-lead ECG and EGM of PSA during LBBaP, is feasible, reliable, and widely available. LBB capture was confirmed by both the standard EP recording system and new modified PSA 3-lead ECG measurements, which showed good agreement. Further large-scale data is needed to validate our findings.","Canpolat Ugur"
"40263202","2025","Right bundle branch block pattern with right ventricular pacing in arrhythmogenic right ventricular cardiomyopathy.","N/A","Petzl Adrian M"
